1,0,0,1,1,0,0,0,0
1,4,0,0,0,0,8,3,1
0,5,0,0,0,0,2,0,0
0,2,0,0,0,0,2,0,0
1,4,0,0,0,0,0,0,2
0,1,1,0,0,0,0,0,0
17,37,1,22,11,1,0,0,0
0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,3,6,1
16,18,3,23,0,0,1,1,2
0,0,0,0,0,0,38,14,3
0,2,0,5,0,0,0,0,2
0,8,1,0,1,0,0,0,0
1,3,0,0,0,0,0,0,0
1,2,0,0,9,0,0,0,0
0,0,0,1,2,0,0,0,4
0,0,0,0,0,0,0,0,2
0,1,0,1,0,0,17,15,34
1,1,0,0,0,0,0,0,0
0,2,0,1,0,1,0,0,2
0,0,0,0,0,0,3,1,0
1,0,1,0,1,0,0,0,0
36,19,20,8,0,7,0,0,0
0,5,0,1,0,0,0,0,5
1,15,0,7,1,0,0,0,1
0,1,0,0,0,0,0,2,2
0,3,0,0,0,0,0,0,3
3,2,0,6,0,0,120,107,16
1,0,0,0,0,0,5,17,11
0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,2,0
3,2,0,0,2,1,0,0,0
0,5,0,0,1,0,0,0,2
3,2,1,2,0,0,1,0,0
0,0,0,0,0,0,0,0,2
1,27,1,1,12,0,1,0,8
6,6,0,1,0,0,1,0,23
0,0,0,3,0,0,0,0,0
0,0,0,0,0,1,1,8,4
0,2,0,0,0,0,0,1,0
3,3,5,2,0,18,1,0,0
12,28,1,0,0,0,28,40,47
8,17,0,9,0,0,1,1,61
0,0,0,0,0,0,0,1,2
0,0,0,7,0,0,1,1,17
2,4,0,5,0,0,0,0,1
0,0,0,0,0,0,0,1,1
0,9,1,16,0,0,0,2,0
8,4,3,4,0,5,0,0,0
2,2,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,2
0,0,0,4,0,0,0,1,1
0,0,0,0,0,0,0,40,0
0,0,0,0,0,0,0,1,1
0,0,0,1,5,0,0,0,0
0,0,0,0,0,0,0,0,3
1,11,0,5,1,0,0,0,0
